Pattern_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,Frequency
407535,,VBOF CCB DTCP VBTR,5
407536,,CCB DTCP VBTR CCB,16
407537,,DTCP VBTR CCB NNC,27
407538,,VBTR CCB NNC DTC,51
407539,,CCB NNC DTC NNC,182
407540,,NNC DTC NNC CCP,52
407541,,DTC NNC CCP VBAF,25
407542,,NNC CCP VBAF CCT,142
407543,,CCP VBAF CCT NNP,58
407544,,VBAF CCT NNP NNP,58
407545,,CCT NNP NNP FW,41
407546,,NNP NNP FW NNP,174
407547,,NNP FW NNP PMP,51
407548,,VBTS PRP CCP DTC,16
407549,,PRP CCP DTC NNC_CCP,3
407550,,CCP DTC NNC_CCP NNC,13
407551,,DTC NNC_CCP NNC LM,27
407552,,NNC_CCP NNC LM RBM,3
407553,,NNC LM RBM VBAF,29
407554,,LM RBM VBAF RBW,2
407555,,NNC JJD CCB VBW,2
407556,,JJD CCB VBW CCT,3
407557,,CCB VBW CCT DTCP,9
407558,,VBW CCT DTCP NNC,71
407559,,CCT DTCP NNC CCA,100
407560,,DTCP NNC CCA DTCP,122
407561,,NNC CCA DTCP NNC,205
407562,,CCA DTCP NNC PMP,42
407563,,RBW_CCP NNP PMC PRI_CCP,7
407564,,NNP PMC PRI_CCP NNC,109
407565,,PMC PRI_CCP NNC CCT,30
407566,,PRI_CCP NNC CCT JJD,18
407567,,NNC CCT JJD CCB,128
407568,,CCT JJD CCB NNC,159
407569,,JJD CCB NNC CCT,61
407570,,CCB NNC CCT JJD_CCP,54
407571,,NNC CCT JJD_CCP JJD_CCP,7
407572,,CCT JJD_CCP JJD_CCP NNC,18
407573,,JJD_CCP JJD_CCP NNC CCB,19
407574,,JJD_CCP NNC CCB NNP,281
407575,,NNC CCB NNP NNP,910
407576,,CCB NNP NNP CCB,48
407577,,NNP NNP CCB NNP,345
407578,,NNP CCB NNP DTC,47
407579,,CCB NNP DTC VBTS,43
407580,,NNP DTC VBTS CCT,67
407581,,DTC VBTS CCT NNC,140
407582,,VBTS CCT NNC CCB,414
407583,,CCT NNC CCB NNP,1058
407584,,NNC CCB NNP PMC,487
407585,,CCB NNP PMC CCP,129
407586,,NNP PMC CCP VBH,31
407587,,PMC CCP VBH NNC,23
407588,,CCP VBH NNC CCB,25
407589,,VBH NNC CCB CDB,6
407590,,NNC CCB CDB NNCA,4
407591,,CCB CDB NNCA PMP,3
407592,,PMS RBD_CCP VBOF CCB,2
407593,,RBD_CCP VBOF CCB NNC,13
407594,,VBOF CCB NNC DTC,53
407595,,CCB NNC DTC PRQ_CCP,3
407596,,NNC DTC PRQ_CCP NNC,2
407597,,DTC PRQ_CCP NNC CCP,7
