Pattern_ID,Hybrid_N-Gram,Frequency,Detailed_POS,Rough_POS,POS_Type
200159,JJN_CCP JJCS_JJD_CCP,11.0,JJN_CCP JJCS_JJD_CCP,.* .*,Only Detailed POS
200160,JJCS_JJD_CCP FW,221.0,JJCS_JJD_CCP .*,.* .*,Only Detailed POS
200167,JJCS_JJD_CCP VBTS,8.0,JJCS_JJD_CCP VBTS,.* .*,Only Detailed POS
200170,DTC JJCS_JJD_CCP,83.0,DTC JJCS_JJD_CCP,.* .*,Only Detailed POS
200171,JJCS_JJD_CCP NNC,180.0,JJCS_JJD_CCP NNC,.* .*,Only Detailed POS
200175,CCB JJCS_JJD_CCP,23.0,CCB JJCS_JJD_CCP,.* .*,Only Detailed POS
200176,JJCS_JJD_CCP NNP,9.0,JJCS_JJD_CCP NNP,.* .*,Only Detailed POS
200183,NNC_CCP VBTR_VBAF,26.0,NNC_CCP VBTR_VBAF,.* .*,Only Detailed POS
200196,CCB VBTR_VBAF_CCP,6.0,CCB VBTR_VBAF_CCP,.* .*,Only Detailed POS
200201,CCT JJCS_JJD_CCP,40.0,CCT JJCS_JJD_CCP,.* .*,Only Detailed POS
200223,JJCS_JJD PRP_CCP,2.0,JJCS_JJD PRP_CCP,.* .*,Only Detailed POS
200228,JJCS_JJD_CCP NNP_CCP,2.0,JJCS_JJD_CCP NNP_CCP,.* .*,Only Detailed POS
200238,DTC VBTR_VBAF_CCP,5.0,DTC VBTR_VBAF_CCP,.* .*,Only Detailed POS
200239,VBTR_VBAF_CCP NNC,19.0,VBTR_VBAF_CCP NNC,.* .*,Only Detailed POS
200242,DTCP JJCS_JJD_CCP,16.0,DTCP JJCS_JJD_CCP,.* .*,Only Detailed POS
200244,JJD_CCP VBTR_VBAF,10.0,JJD_CCP VBTR_VBAF,.* .*,Only Detailed POS
200251,VBH JJCS_JJD_CCP,9.0,VBH JJCS_JJD_CCP,.* .*,Only Detailed POS
200259,PRI_CCP VBTR_VBAF,12.0,PRI_CCP VBTR_VBAF,.* .*,Only Detailed POS
200263,RBW JJCS_JJD_CCP,0.0,RBW JJCS_JJD_CCP,.* .*,Only Detailed POS
200267,JJD_CCP VBTR_VBRF,3.0,JJD_CCP VBTR_VBRF,.* .*,Only Detailed POS
200270,PRS_CCP VBTR_VBAF,6.0,PRS_CCP VBTR_VBAF,.* .*,Only Detailed POS
200279,PRQ_CCP JJCS_JJD,3.0,PRQ_CCP JJCS_JJD,.* .*,Only Detailed POS
200281,PRSP_CCP VBTR_VBRF,5.0,PRSP_CCP VBTR_VBRF,.* .*,Only Detailed POS
200292,DTCP VBTR_VBRF_CCP,9.0,DTCP VBTR_VBRF_CCP,.* .*,Only Detailed POS
200295,JJCS_JJD_CCP NNC_CCP,11.0,JJCS_JJD_CCP NNC_CCP,.* .*,Only Detailed POS
200297,VBTS_CCP VBTR_VBAF,3.0,VBTS_CCP VBTR_VBAF,.* .*,Only Detailed POS
200303,LM VBTR_VBAF_CCP,31.0,.* VBTR_VBAF_CCP,.* .*,Only Detailed POS
200304,VBTR_VBAF_CCP VBW,6.0,VBTR_VBAF_CCP VBW,.* .*,Only Detailed POS
200317,CCA JJCS_JJD_CCP,2.0,CCA JJCS_JJD_CCP,.* .*,Only Detailed POS
200330,RBW_CCP VBTR_VBAF,11.0,RBW_CCP VBTR_VBAF,.* .*,Only Detailed POS
200336,PRQ_CCP JJCS_JJD_CCP,1.0,PRQ_CCP JJCS_JJD_CCP,.* .*,Only Detailed POS
200337,JJCS_JJD_CCP DTCP,2.0,JJCS_JJD_CCP DTCP,.* .*,Only Detailed POS
200343,JJN_CCP VBTR_VBAF,5.0,JJN_CCP VBTR_VBAF,.* .*,Only Detailed POS
200351,RBD_CCP VBTR_VBAF,11.0,RBD_CCP VBTR_VBAF,.* .*,Only Detailed POS
200383,NNC_CCP VBTR_VBRF_CCP,2.0,NNC_CCP VBTR_VBRF_CCP,.* .*,Only Detailed POS
200396,VBTR_VBRF_CCP NNC,7.0,VBTR_VBRF_CCP NNC,.* .*,Only Detailed POS
200404,PRSP_CCP JJCS_JJD_CCP,5.0,PRSP_CCP JJCS_JJD_CCP,.* .*,Only Detailed POS
200409,PRI_CCP JJCS_JJD_CCP,7.0,PRI_CCP JJCS_JJD_CCP,.* .*,Only Detailed POS
200418,JJN_CCP JJCS_JJD,15.0,JJN_CCP JJCS_JJD,.* .*,Only Detailed POS
200421,PRO_CCP JJCS_JJD,3.0,PRO_CCP JJCS_JJD,.* .*,Only Detailed POS
200428,RBW_CCP VBTR_VBRF,2.0,RBW_CCP VBTR_VBRF,.* .*,Only Detailed POS
200432,VBTS JJCS_JJD_CCP,2.0,VBTS JJCS_JJD_CCP,.* .*,Only Detailed POS
200435,PRS_CCP VBTS_VBOF,4.0,PRS_CCP VBTS_VBOF,.* .*,Only Detailed POS
200443,VBH_CCP JJCS_JJD_CCP,2.0,VBH_CCP JJCS_JJD_CCP,.* .*,Only Detailed POS
200454,VBTR_VBRF_CCP JJD_CCP,3.0,VBTR_VBRF_CCP JJD_CCP,.* .*,Only Detailed POS
200468,PRI_CCP JJCS_JJD,10.0,PRI_CCP JJCS_JJD,.* .*,Only Detailed POS
200469,JJCS_JJD_CCP RBD_CCP,2.0,JJCS_JJD_CCP RBD_CCP,.* .*,Only Detailed POS
200470,PRI_CCP VBTR_VBRF,7.0,PRI_CCP VBTR_VBRF,.* .*,Only Detailed POS
200472,RBW_CCP VBTS_VBOF,2.0,RBW_CCP VBTS_VBOF,.* .*,Only Detailed POS
200475,VBTR_VBAF PRO_CCP,1.0,VBTR_VBAF PRO_CCP,.* .*,Only Detailed POS
200479,NNC_CCP VBTR_VBRF,5.0,NNC_CCP VBTR_VBRF,.* .*,Only Detailed POS
200484,JJN_CCP VBTR_VBRF_CCP,2.0,JJN_CCP VBTR_VBRF_CCP,.* .*,Only Detailed POS
200491,RBI_CCP VBTR_VBAF,5.0,RBI_CCP VBTR_VBAF,.* .*,Only Detailed POS
200515,PRSP_CCP JJCS_JJD,7.0,PRSP_CCP JJCS_JJD,.* .*,Only Detailed POS
200530,PRI_CCP VBTR_VBAF_CCP,2.0,PRI_CCP VBTR_VBAF_CCP,.* .*,Only Detailed POS
200531,CCT VBTR_VBRF_CCP,1.0,CCT VBTR_VBRF_CCP,.* .*,Only Detailed POS
200532,PRS_CCP JJCS_JJD,1.0,PRS_CCP JJCS_JJD,.* .*,Only Detailed POS
200544,JJCS_JJD_CCP VBTR,3.0,JJCS_JJD_CCP VBTR,.* .*,Only Detailed POS
301547,DTC JJN_CCP JJCS_JJD_CCP,5.0,DTC JJN_CCP JJCS_JJD_CCP,.* .* .*,Only Detailed POS
301549,DTC VBTR_CCP CCT,2.0,DTC VBTR_CCP CCT,.* .* .*,Only Detailed POS
301551,NNP LM VBTS_CCP,97.0,NNP .* VBTS_CCP,.* .* .*,Only Detailed POS
301552,LM VBTS_CCP VBTF,3.0,.* VBTS_CCP VBTF,.* .* .*,Only Detailed POS
301554,VBTR CCB JJD_CCP,43.0,VBTR CCB JJD_CCP,.* .* .*,Only Detailed POS
301555,CCB JJD_CCP NNC,549.0,CCB JJD_CCP NNC,.* .* .*,Only Detailed POS
301556,JJD_CCP NNC CCA,120.0,JJD_CCP NNC CCA,.* .* .*,Only Detailed POS
301557,CCT DTCP NNC_CCP,161.0,CCT DTCP NNC_CCP,.* .* .*,Only Detailed POS
301558,DTCP NNC_CCP RBF,16.0,DTCP NNC_CCP RBF,.* .* .*,Only Detailed POS
301559,NNC_CCP RBF JJD,7.0,NNC_CCP RBF JJD,.* .* .*,Only Detailed POS
301560,NNC CCB PRSP_CCP,182.0,NNC CCB PRSP_CCP,.* .* .*,Only Detailed POS
301561,CCB PRSP_CCP DTCP,51.0,CCB PRSP_CCP DTCP,.* .* .*,Only Detailed POS
301563,RBL CCT PRI_CCP,33.0,RBL CCT PRI_CCP,.* .* .*,Only Detailed POS
301564,CCT PRI_CCP NNC,732.0,CCT PRI_CCP NNC,.* .* .*,Only Detailed POS
301565,PRI_CCP NNC CCB,439.0,PRI_CCP NNC CCB,.* .* .*,Only Detailed POS
301566,JJD_CCP NNC RBI,8.0,JJD_CCP NNC RBI,.* .* .*,Only Detailed POS
301567,CCB DTCP NNC_CCP,144.0,CCB DTCP NNC_CCP,.* .* .*,Only Detailed POS
301568,DTCP NNC_CCP PRO,67.0,DTCP NNC_CCP PRO,.* .* .*,Only Detailed POS
301569,NNC_CCP PRO DTC,13.0,NNC_CCP PRO DTC,.* .* .*,Only Detailed POS
301570,NNC CCA VBTR_VBRF,4.0,NNC CCA VBTR_VBRF,.* .* .*,Only Detailed POS
301572,DTC DTCP NNC_CCP,160.0,DTC DTCP NNC_CCP,.* .* .*,Only Detailed POS
301573,NNC_CCP PRO LM,172.0,NNC_CCP PRO .*,.* .* .*,Only Detailed POS
301574,NNC CCB JJD_CCP,280.0,NNC CCB JJD_CCP,.* .* .*,Only Detailed POS
301575,CCB JJD_CCP FW,680.0,CCB JJD_CCP .*,.* .* .*,Only Detailed POS
301579,CCR JJCS_CCP NNC,2.0,CCR JJCS_CCP NNC,.* .* .*,Only Detailed POS
301581,RBW VBN RBI_CCP,5.0,RBW VBN RBI_CCP,.* .* .*,Only Detailed POS
301582,VBN RBI_CCP VBAF,2.0,VBN RBI_CCP VBAF,.* .* .*,Only Detailed POS
301583,RBI_CCP VBAF CCB,3.0,RBI_CCP VBAF CCB,.* .* .*,Only Detailed POS
301585,PRO CCT PRSP_CCP,10.0,PRO CCT PRSP_CCP,.* .* .*,Only Detailed POS
301587,PRS CCT PRSP_CCP,18.0,PRS CCT PRSP_CCP,.* .* .*,Only Detailed POS
301588,CCT PRSP_CCP NNC,478.0,CCT PRSP_CCP NNC,.* .* .*,Only Detailed POS
301589,PRSP_CCP NNC CCT,295.0,PRSP_CCP NNC CCT,.* .* .*,Only Detailed POS
301590,CCB NNC RBW_CCP,90.0,CCB NNC RBW_CCP,.* .* .*,Only Detailed POS
301591,NNC RBW_CCP NNP,176.0,NNC RBW_CCP NNP,.* .* .*,Only Detailed POS
301592,RBW_CCP NNP CCB,79.0,RBW_CCP NNP CCB,.* .* .*,Only Detailed POS
301594,DTC PRSP_CCP NNC,487.0,DTC PRSP_CCP NNC,.* .* .*,Only Detailed POS
301595,PRSP_CCP NNC LM,768.0,PRSP_CCP NNC .*,.* .* .*,Only Detailed POS
301599,JJN_CCP NNC LM,807.0,JJN_CCP NNC .*,.* .* .*,Only Detailed POS
301600,VBTR PRS_CCP JJD,2.0,VBTR PRS_CCP JJD,.* .* .*,Only Detailed POS
301601,CCT PRSP_CCP DTCP,101.0,CCT PRSP_CCP DTCP,.* .* .*,Only Detailed POS
301602,PRSP_CCP DTCP NNC,243.0,PRSP_CCP DTCP NNC,.* .* .*,Only Detailed POS
301603,NNP LM JJN_CCP,102.0,NNP .* JJN_CCP,.* .* .*,Only Detailed POS
301604,LM JJN_CCP VBTS,35.0,.* JJN_CCP VBTS,.* .* .*,Only Detailed POS
301605,JJN_CCP VBTS RBW_CCP,4.0,JJN_CCP VBTS RBW_CCP,.* .* .*,Only Detailed POS
