Original Sentence,Gold Sentence
Kasalukuyang lumaban si Donaire sa bantamweight division,Kasalukuyang lumalaban si Donaire sa bantamweight division
Ta pos nafeel ko na ‘Ay,Tapos nafeel ko na ‘Ay
mula Enero hanggang Hulyo ngayong taon ,Mula Enero hanggang Hulyo ngayong taon 
Nakatatanggap na rin niya ng mga endorsement,Nakatatanggap na rin siya ng mga endorsement
Nawawala pa ang puso ni ni Carla Abellana,Nawawala pa ang puso ni Carla Abellana
Pumangatlo ang Thailand namay  marka,Pumangatlo ang Thailand na may  marka
Iilanlang silang nandun sa ituktok,Iilan lang silang nandun sa ituktok
Para silang mga timang,Para silang mga timang
Sirena talaga ito,Sirena talaga ito
hindi ko siya naisip ulit pa niya,Hindi ko siya naisip ulit pa niya
Sa kabila nito hindi siya tatalikuran ang kaniyang kapatid,Sa kabila nito hindi niya tatalikuran ang kaniyang kapatid
Hindi mo nakakakita ang kalabang virus,Hindi mo nakikita ang kalabang virus
i think stamina din yung labanan,I think stamina rin yung labanan
Nauna dito inihayag ni Dr,Nauna rito inihayag ni Dr
Hindi ako sanay na MAGLOKO,Hindi ako sanay na magloko
Sinabi rin ni Vhong na nagsusubok siya ng Diyos,Sinabi rin ni Vhong na sinubukan siya ng Diyos
Eh inaanak siya sa ikakasal ni PBBM,Eh inaanak siya sa kasal ni PBBM
hit dahil pinagusapan pero hindi naman kumita talaga,Hit dahil pinagusapan pero hindi naman kumita talaga
Imagine mo Presidente ganun ang nagsabi sa isang senador,Imagine mo Presidente ganun ang sinasabi sa isang senador
Kakasuhan po nila motu propio po itong si,Kakasuhan po nila motu propio po itong si
Samantala mayroon rin namang  bettors ang nakapaguwi ng tigP,Samantala mayroon din namang  bettors ang nakapaguwi ng tigP
Kasi makikipag away ka lang dun eh,Kasi makikipagaway ka lang dun eh
Sasampahan ng kasong qualified theft ang suspek ayon sapulisya,Sasampahan ng kasong qualified theft ang suspek ayon sa pulisya
Pero kaya kaya yun,Pero kaya yun
Kung mahilig sya sa baril may baril sa puno,Kung mahilig sya sa baril may baril sa puno
Hindi nyo naman sinabi na bingi balik tanaw niya,Hindi nyo naman sinabi na bingi baliktanaw niya
Marami ang nakakarelate sa bagong TV commercial nang Tanduay,Marami ang nakakarelate sa bagong TV commercial ng Tanduay
Handanghanda na talagang magpop si Jessy Mendiola,Handanghanda na talagang magpop si Jessy Mendiola
Hintayin nating nating magkaanak ang female star,Hintayin nating magkaanak ang female star
Hindi siya yung yung batang lakwatsera,Hindi siya yung batang lakwatsera
Narekober di to ang isang cal,Narekober dito ang isang cal
Yup ganun raw kalaki kaya sa three months P,Yup ganun daw kalaki kaya sa three months P
Raw ang accuracy,Daw ang accuracy
Na pumanaw din noong Hunyo ,Na pumanaw rin noong Hunyo 
Opinyon ko lang naman,Opinyon ko lang naman ito
sa huli nilang datos nasa ,Sa huli nilang datos nasa 
Magtatampisaw at magbabanlaw lang sana nila umano sa creek,Magtatampisaw at magbabanlaw lang sana sila umano sa creek
Pero ginawa ba yun ni Sarah,Pero ginawa ba yun ni Sarah
Marami sa mga pa ligid natin yan,Marami sa mga paligid natin yan
Marami ang nagulat dahil tahimik lang nila noong una,Marami ang nagulat dahil tahimik lang sila noong una
Hangang hanga sa pamilya Abrenica ang aming mga nakakausap,Hanganghanga sa pamilya Abrenica ang aming mga nakakausap
Sa june  ito magaganap sa bansa,Sa June  ito magaganap sa bansa
Kagagawa ni Duterte ang pahayag matapos kuwestyunin nina Sens,Ginawa ni Duterte ang pahayag matapos kuwestyunin nina Sens
Sabi ni Cong,Sabi ni Cong
Totoong totoo SIYA natatawang sabi ni Barbie,Totoong totoo siya natatawang sabi ni Barbie
Talagang binago ang image iba na siya ngayon,Talagang binago ang image dahil iba na siya ngayon
Kabilang sa sa apektado ang Malolos Ave,Kabilang sa apektado ang Malolos Ave
Ayon SA ulat ni PLt,Ayon sa ulat ni PLt
Hindi ko alam ang sasabihin ko,Hindi ko alam ang sasabihin ko
Siyam nataon nang magkarelasyon sina Daniel at Kathryn,Siyam na taon nang magkarelasyon sina Daniel at Kathryn
pugos ng bayang ito,Pugos ng bayang ito
Iniyakan tayo dahil tayong lahat ay nagdidiwang at nagbubunyi,Umiiyak tayo dahil tayong lahat ay nagdidiwang at nagbubunyi
Inaalam pa ng BFP ang sanhing apoy,Inaalam pa ng BFP ang sanhi ng apoy
Nagbalik na sa pagarte sa telebisyon si Rachel Alejandro,Nagbabalik na sa pagarte sa telebisyon si Rachel Alejandro
Matutuloy ito sa August ,Matutuloy ito sa August 
Perosulit pag narating mo na ang falls,Pero sulit pag narating mo na ang falls
Sa ulat na nakarating kay Brig gen,Sa ulat na nakarating kay Brig Gen
Bilyon angnet worth ng anyos na dating pulitiko,Bilyon ang net worth ng anyos na dating pulitiko
Bakit niyo ako poposasan,Bakit niyo ako poposasan
Nasa  ngkaso ng rabies ay buhat sa aso,Nasa  ng kaso ng rabies ay buhat sa aso
Nakakatuwa kasi lahat TAYO lumaki tayo with that,Nakakatuwa kasi lahat tayo lumaki tayo with that
Hanggang  kilo ang kayang buhatin nang robot,Hanggang  kilo ang kayang buhatin ng robot
Magpapatupad ang Manila Electric Company Meralco ng P,Magpapatupad ang Manila Electric Company Meralco ng P
Ma salong sa bayang ito kamakalawa ng gabi,Masalong sa bayang ito kamakalawa ng gabi
Ang challenges lang yung nagdeposit kung sino,Ang challenges lang yung nagdeposit kung sino
Anyway talagang tuloy ang pasikat nang Koreans sa Hollywood,Anyway talagang tuloy ang pasikat ng Koreans sa Hollywood
Lakas ng chemistry lakas ng appeal,Lakas ng chemistry lakas ng appeal
Pero higit pa doon ang pandaraya,Pero higit pa roon ang pandaraya
Pagisipan ng isang daang beses para sigurado sa sagot,Pagisipan nang isang daang beses para sigurado sa sagot
Ay nanlaban siyanagpumiglas hirit ni Fifth Solomon,Ay nanlaban siyanagpumiglas hirit ni Fifth Solomon
Narekober samga suspek ang isang,Narekober sa mga suspek ang isang
Niya yung pumipitik sa akin minsan na ‘Oy,Siya yung pumipitik sa akin minsan na ‘Oy
Na patuloy nagmomonitor si Pangulong Ferdinand Marcos Jr,Na patuloy nagmomonitor si Pangulong Ferdinand Marcos Jr
Maya maya dumating na ang ikalawang video,Mayamaya dumating na ang ikalawang video
Alam mo naman kung ano ang nangyari kung BAKIT,Alam mo naman kung ano ang nangyari kung bakit
Binili sila tapos inilagay sa cold storage,Binili nila tapos inilagay sa cold storage
Bukas siya sa inputs NG experts ani Trillanes,Bukas siya sa inputs ng experts ani Trillanes
Nang lumabas na negative nagsasayaw na ako,Nang lumabas na negative nagsasayaw na ako
Sana hindi ganun di ba,Sana hindi ganun di ba
Kaya nakakatuwa dahil alam sila na magshare,Kaya nakakatuwa dahil alam nila na magshare
“siyempre NAPAFLATTER po ako,“Siyempre napaflatter po ako
Samantala kumalat na din ang isa pang kuwentong buntis,Samantala kumalat na rin ang isa pang kuwentong buntis
Na lamang ngayong Hulyo,Na lamang ngayong Hulyo
Hindi lang siya sa Pilipinas mapapanood,Hindi lang siya sa Pilipinas mapapanood
Meronkaming curfew may cutoff kami aniya pa,Meron kaming curfew may cutoff kami aniya pa
Bibilang paghahanda nagsagawa na ng renobasyon ang airport,Bilang paghahanda nagsagawa na ng renobasyon ang airport
Kasalukuyangnasa Sorsogon pa si John Lloyd,Kasalukuyang nasa Sorsogon pa si John Lloyd
Huling makakakita si Araman sa Olongapo City,Huling nakita si Araman sa Olongapo City
Pakisagotlang nito,Pakisagot lang nito
Ganun ako eh,Ganun ako eh
Anong ipon mo sa sarili mo,Anong ipon mo sa sarili mo
Sagot ni ms,Sagot ni Ms
Humindi pwedeng nagdadasal ka lang siyempre nakakatulong yon,Hindi pwedeng nagdadasal ka lang siyempre nakakatulong yon
Hindi naman tayo puwedeng sumali na hihindi kinakabahan,Hindi naman tayo puwedeng sumali na hindi kinakabahan
MARUNONG pa siyang humawak ng pera,Marunong pa siyang humawak ng pera
Hinihinalang matagal ng alitan ang motibo sa krimen,Hinihinalang matagal nang alitan ang motibo sa krimen
Pinakamataas mula mula noong ENERO ,Pinakamataas mula mula noong Enero 
Sa nasabing BILANG ,Sa nasabing bilang 
Nilagay siya ay Otlum ng Pinas,Nilagay niya ay Otlum ng Pinas
