Sentence No, Expected, Actual,Detection Result, Expected, Actual,Correction Result
1,0,1,FP,0,1,FP
2,0,1,FP,0,1,FP
3,0,0,TN,0,0,TN
4,0,1,FP,0,1,FP
5,1,0,FN,1,0,FN
6,0,1,FP,0,1,FP
7,0,1,FP,0,1,FP
8,0,1,FP,0,1,FP
9,0,0,TN,0,0,TN
10,1,1,TP,1,0,FN
11,0,0,TN,0,0,TN
12,1,1,TP,1,0,FN
13,0,1,FP,0,1,FP
14,0,0,TN,0,0,TN
15,0,0,TN,0,0,TN
16,0,0,TN,0,0,TN
17,1,1,TP,1,1,TP
18,0,0,TN,0,0,TN
19,0,0,TN,0,0,TN
20,1,0,FN,1,0,FN
21,0,1,FP,0,1,FP
22,1,1,TP,1,0,FN
23,1,0,FN,1,0,FN
24,0,1,FP,0,1,FP
25,1,1,TP,1,0,FN
26,1,1,TP,1,0,FN
27,1,1,TP,1,0,FN
28,1,1,TP,1,1,TP
29,0,0,TN,0,0,TN
30,0,0,TN,0,0,TN
31,1,0,FN,1,0,FN
32,1,1,TP,1,0,FN
33,0,1,FP,0,1,FP
34,1,1,TP,1,1,TP
35,1,0,FN,1,0,FN
36,1,1,TP,1,0,FN
37,0,1,FP,0,1,FP
38,0,1,FP,0,1,FP
39,0,0,TN,0,0,TN
40,1,1,TP,1,1,TP
41,1,0,FN,1,0,FN
42,1,1,TP,1,0,FN
43,1,0,FN,1,0,FN
44,0,0,TN,0,0,TN
45,1,0,FN,1,0,FN
46,1,1,TP,1,1,TP
47,0,0,TN,0,0,TN
48,0,1,FP,0,1,FP
49,1,0,FN,1,0,FN
50,0,0,TN,0,0,TN
51,0,1,FP,0,1,FP
52,0,0,TN,0,0,TN
53,1,1,TP,1,1,TP
54,0,1,FP,0,1,FP
55,1,1,TP,1,1,TP
56,1,1,TP,1,1,TP
57,0,1,FP,0,1,FP
58,1,1,TP,1,1,TP
59,1,1,TP,1,0,FN
60,0,0,TN,0,0,TN
61,1,0,FN,1,0,FN
62,1,1,TP,1,1,TP
63,0,1,FP,0,1,FP
64,1,1,TP,1,0,FN
65,0,1,FP,0,1,FP
66,0,1,FP,0,1,FP
67,0,1,FP,0,1,FP
68,0,0,TN,0,0,TN
69,1,1,TP,1,1,TP
70,0,1,FP,0,1,FP
71,1,1,TP,1,0,FN
72,1,1,TP,1,1,TP
73,0,1,FP,0,1,FP
74,0,0,TN,0,0,TN
75,1,0,FN,1,0,FN
76,1,0,FN,1,0,FN
77,0,1,FP,0,1,FP
78,1,1,TP,1,1,TP
79,0,1,FP,0,1,FP
80,1,0,FN,1,0,FN
81,0,1,FP,0,1,FP
82,1,1,TP,1,1,TP
83,1,1,TP,1,1,TP
84,1,1,TP,1,1,TP
85,1,0,FN,1,0,FN
86,0,1,FP,0,1,FP
87,1,1,TP,1,1,TP
88,0,1,FP,0,1,FP
89,0,0,TN,0,0,TN
90,1,0,FN,1,0,FN
91,1,0,FN,1,0,FN
92,1,1,TP,1,1,TP
