Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
Sinabi ni Go na tinitiyak ni Duterte ang maayos na paglipat ng kapangyarihan para sa susunod na mahahalal na pinakamataas na pinuno ng bansa.,Sinabi ni Go na tinitiyak ni Duterte ang maayos na paglipat ng kapangyarihan para sa susunod na mahahalal na pinakamataas na pinuno ng bansa.,Sinabi ni Go na tinitiyak ni suwerte ang maayos na paglipat ng kapangyarihan para sa susunod na mahahalal na pinakamataas na pinuno ng bansa.,['Duterte'],"{'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete']}",FP,FP
Sinabi naman niHidalgo na palalakasin niya ang anti-criminality campaign sa rehiyon at pagpupursigihan ang kampanya laban sa ilegal na droga.,Sinabi naman niHidalgo na palalakasin niya ang anti-criminality campaign sa rehiyon at pagpupursigihan ang kampanya laban sa ilegal na droga.,Sinabi naman hihibang na palalakasin niya ang anti-criminality campaign sa rehiyon at pagpupursigihan ang kampanya laban sa ilegal na droga.,['niHidalgo'],"{'niHidalgo': ['bihirang', 'bihisang', 'hihibang', 'hihigang', 'hihilang']}",FP,FP
Para sa lahat ng nag aalala sakin.,Para sa lahat ng nag aalala sakin.,Para sa lahat ng nag aalala sakin.,[],{},TN,TN
Nagbukas ang palitan sa P57.70.,Nagbukas ang palitan sa P57.70.,Nagbukas ang palitan sa P57.ag.,['70'],"{'70': ['ab', 'ad', 'ag', 'ah', 'ak']}",FP,FP
Nahuli-cam pa ang insidente nang malaglag mula sa umiikot na swing ang-biktima at tumama sa mga barikada.,Nahuli-cam pa ang insidente nang malaglag mula sa umiikot na swing ang biktima at tumama sa mga barikada.,Nahuli-cam pa ang insidente nang malaglag mula sa umiikot na swing ang-biktima at tumama sa mga barikada.,[],{},FN,FN
Ngayong buwan lang nang sabihin ni Dela Rosa na handa siyang umatras sa presidential race kung mapag-isipan ni Davao City Mayor Sara Duterte-Carpio na tumakbo sa ilalim ng PDP-Laban para sa parehong posisyon gamit ang substitution.,Ngayong buwan lang nang sabihin ni Dela Rosa na handa siyang umatras sa presidential race kung mapag-isipan ni Davao City Mayor Sara Duterte-Carpio na tumakbo sa ilalim ng PDP-Laban para sa parehong posisyon gamit ang substitution.,Ngayong buwan lang nang sabihin ni Dela Rosa na handa siyang umatras sa presidential race kung mapag-isipan ni daan City Mayor Sara suwerte-carpet na tumakbo sa ilalim ng PDP-Laban para sa parehong posisyon gamit ang substitution.,"['Davao', 'Duterte', 'Carpio']","{'Davao': ['avai', 'cavan', 'daan', 'dabaw', 'dadag'], 'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete'], 'Carpio': ['barrio', 'cargo', 'carpet', 'marpil', 'aapi']}",FP,FP
Sabi nga ni Vincent del Rosario pang big screen talaga ito.,Sabi nga ni Vincent del Rosario pang big screen talaga ito.,Sabi nga ni violent del Rosario pang big screen talaga ito.,['Vincent'],"{'Vincent': ['incest', 'intent', 'violent', 'ailment', 'ancient']}",FP,FP
"Ayon kay LKI President Vic Dimagiba, patuloy pa ring binubutas ang bulsa ng mga konsyumer dahil sa mga mas mahal na ginagamit na panggatong ng mga generation companies lalo na nang mag-shutdown ang Malampaya noong Nobyembre 24.","Ayon kay LKI President Vic Dimagiba, patuloy pa ring binubutas ang bulsa ng mga konsyumer dahil sa mga mas mahal na ginagamit na panggatong ng mga generation companies lalo na nang mag-shutdown ang Malampaya noong Nobyembre 24.","Ayon kay ski President pic magiba, patuloy pa ring binubutas ang bulsa ng mga konsyumer dahil sa mga mas mahal na ginagamit na panggatong ng mga generation companies lalo na nang mag-shutdown ang aalampayan noong Nobyembre ag.","['LKI', 'Vic', 'Dimagiba', 'Malampaya', '24']","{'LKI': ['iki', 'laki', 'ski', 'ak', 'aka'], 'Vic': ['fic', 'mic', 'pic', 'tic', 'vi'], 'Dimagiba': ['dimaguila', 'ipagiba', 'magiba', 'pinagiba', 'dalagita'], 'Malampaya': ['malamaya', 'aalampay', 'aalampayan', 'alampay', 'alampayan'], '24': ['ab', 'ad', 'ag', 'ah', 'ak']}",FP,FP
Vlog daw muna ang gagawin niya.,Vlog daw muna ang gagawin niya.,Vlog daw muna ang gagawin niya.,[],{},TN,TN
"Everythingâs documented and mahal niya yung mga anak niya, mahal na mahal ni Jom yun,â na sagot nito tungkol sa akusasyong apat na lata lang ng gatas ang ibinigay ni Jomari sa anak ng ex ng actor / politician na si Joy Reyes.","Everythingâs documented and mahal niya yung mga anak niya, mahal na mahal ni Jom yun,â na sagot nito tungkol sa akusasyong apat na lata lang ng gatas ang ibinibigay ni Jomari sa anak ng ex ng actor / politician na si Joy Reyes.","anythings documented and mahal niya yung mga anak niya, mahal na mahal ni hom yun,d na sagot nito tungkol sa akusasyong apat na lata lang ng gatas ang ibinigay ni yumari sa anak ng ex ng actor / politician na si job ayes.","['Everythingâ', 'Jom', 'â', 'Jomari', 'Joy', 'Reyes']","{'Everythingâ': ['everytime', 'exerting', 'anything', 'baryahing', 'birthing'], 'Jom': ['com', 'dom', 'hom', 'jam', 'job'], 'â': ['b', 'c', 'd', 'e', 'f'], 'Jomari': ['joma', 'mari', 'yumari', 'aaari', 'aari'], 'Joy': ['boy', 'jay', 'job', 'koy', 'noy'], 'Reyes': ['eyes', 'aretes', 'ayes', 'beses', 'diyes']}",TP,FN
"Same habang nagbabasa ako ng script,” paliwanag ng baguhang aktres.","Same habang nagbabasa ako ng script,” paliwanag ng baguhang aktres.","Same habang nagbabasa ako ng script,” paliwanag ng baguhang aktres.",[],{},TN,TN
Sabi kaagad Ivana.,Sabi kaagad ni Ivana.,Sabi kaagad bana.,['Ivana'],"{'Ivana': ['ikana', 'asana', 'bana', 'diana', 'diyana']}",TP,FN
"Inanunsyo ng Malaca?ñang ang suspensyon ng pasok para sa mga empleyado ng gobyerno pagsapit ng tanghali ng darating na Miyerkules Santo, ika-5 ng Abril, upang mabigyan ng pagkakataon ang mga nabanggit na malubos-lubos ang Semana Santat makapagbiyahe sa probinsya.","Inanunsyo ng Malaca?ñang ang suspensyon ng pasok para sa mga empleyado ng gobyerno pagsapit ng tanghali ng darating na Miyerkules Santo, ika-5 ng Abril, upang mabigyan ng pagkakataon ang mga nabanggit na malubos-lubos ang Semana Santat makapagbiyahe sa probinsya.","Inanunsyo ng malasa?bang ang suspensyon ng pasok para sa mga empleyado ng gobyerno pagsapit ng tanghali ng darating na Miyerkules Santo, ika-d ng Abril, upang mabigyan ng pagkakataon ang mga nabanggit na malubos-lubos ang Semana santa makapagbiyahe sa probinsya.","['Malaca', 'ñang', '5', 'Santat']","{'Malaca': ['malaga', 'malala', 'malasa', 'malata', 'malawa'], 'ñang': ['aang', 'ang', 'bang', 'cang', 'dang'], '5': ['b', 'c', 'd', 'e', 'f'], 'Santat': ['sandat', 'sangat', 'santa', 'santan', 'aangat']}",FP,FP
At hindi naman daw nabigo ang mag-ama dahil naging maayos daw ang takbo ng sasakyan sa kanilang long trip.,At hindi naman daw nabigo ang mag-ama dahil naging maayos daw ang takbo ng sasakyan sa kanilang long trip.,At hindi naman daw nabigo ang mag-ama dahil naging maayos daw ang takbo ng sasakyan sa kanilang long trip.,[],{},TN,TN
"Ayon sa pinsan ng biktima, bibili lang sila ng tinapay nang mangyari ang insidente.","Ayon sa pinsan ng biktima, bibili lang sila ng tinapay nang mangyari ang insidente.","Ayon sa pinsan ng biktima, bibili lang sila ng tinapay nang mangyari ang insidente.",[],{},TN,TN
"Sa video na ito na ini-live stream kanina, makikita ang dami ng mga pulis at security na kinaharap ng mga residente.","Sa video na ito na ini-live stream kanina, makikita ang dami ng mga pulis at security na kinaharap ng mga residente.","Sa video na ito na ini-live stream kanina, makikita ang dami ng mga pulis at security na kinaharap ng mga residente.",[],{},TN,TN
"Bukod dito, babawasan na din nila ang quarantine time sa mga darating na dayuhan, at magbubukas na rin sila ng kanilang mga paaralan.","Bukod dito, babawasan na rin nila ang quarantine time sa mga darating na dayuhan, at magbubukas na rin sila ng kanilang mga paaralan.","Bukod dito, babawasan na rin nila ang quarantine time sa mga darating na dayuhan, at magbubukas na rin sila ng kanilang mga paaralan.",[],{},TP,TP
I-settle ko muna yung magulang ko.,I-settle ko muna yung magulang ko.,I-settle ko muna yung magulang ko.,[],{},TN,TN
"Paalala naman ng aktres, hindi lang dapat mga karelasyon ang sinusubukan i-convert bagkus pati na rin ang mga kaibigan, kamag-anak, at mga kakilala.","Paalala naman ng aktres, hindi lang dapat mga karelasyon ang sinusubukan i-convert bagkus pati na rin ang mga kaibigan, kamag-anak, at mga kakilala.","Paalala naman ng aktres, hindi lang dapat mga karelasyon ang sinusubukan i-convert bagkus pati na rin ang mga kaibigan, kamag-anak, at mga kakilala.",[],{},TN,TN
"Hanggang sa isang araw nang dalhin niya ang kaniyang anak sa family day, makikita niya ang kanilang mga litrato.","Hanggang sa isang araw nang dalhin niya ang kaniyang anak sa family day, nakita niya ang kanilang mga litrato.","Hanggang sa isang araw nang dalhin niya ang kaniyang anak sa family day, makikita niya ang kanilang mga litrato.",[],{},FN,FN
Tiniyak naman ni Padilla kay Drilon na nag-aaral na siya tungkol sa paggawa ng batas subalit nilinaw nito na hindi siya natatakot na mapahiya sa Senado.,Tiniyak naman ni Padilla kay Drilon na nag-aaral na siya tungkol sa paggawa ng batas subalit nilinaw nito na hindi siya natatakot na mapahiya sa Senado.,Tiniyak naman ni barilya kay dion na nag-aaral na siya tungkol sa paggawa ng batas subalit nilinaw nito na hindi siya natatakot na mapahiya sa Senado.,"['Parilla', 'Drilon']","{'Parilla': ['parilya', 'barill', 'barilya', 'kabilla', 'pabigla'], 'Drilon': ['dilan', 'dimon', 'dion', 'dragon', 'dril']}",FP,FP
"Papalitan ko lahat ng guwardiya sa maximum eh umabot ng 700 eh, at saka ilalagay ko yung babae, ayon kay Catapang sa isang press conference kahapon.","Papalitan ko lahat ng guwardiya sa maximum eh aabot ng 700 eh, at saka ilalagay ko yung babae, ayon kay Catapang sa isang press conference kahapon.","Papalitan ko lahat ng guwardiya sa maximum eh umabot ng aam eh, at saka ilalagay ko yung babae, ayon kay aagapang sa isang press conference kahapon.","['700', 'Catapang']","{'700': ['aag', 'aal', 'aam', 'aat', 'aaw'], 'Catapang': ['matapang', 'tatapang', 'aagapang', 'aalapang', 'aapang']}",TP,FN
Sinabi ni Vergeire na katuwang ang Department of Education (DepEd) ay palalakasin nila ang screening sa mga mag-aaral at mga guro na nagbabalik sa mga paaralan.,Sinabi ni Vergeire na katuwang ang Department of Education (DepEd) ay palalakasin nila ang screening sa mga mag-aaral at mga guro na magbabalik sa mga paaralan.,Sinabi ni Vergeire na katuwang ang Department of Education (DepEd) ay palalakasin nila ang screening sa mga mag-aaral at mga guro na nagbabalik sa mga paaralan.,[],{},FN,FN
"Hanggang kahapon ay nasa top 10 trending pa rin ito, at ilan sa mga post ng netizens ay ikinukumpara nila ang Darna look ni Jane kay Gal Gadot bilang si Wonder Woman.","Hanggang kahapon ay nasa top 10 trending pa rin ito, at ilan sa mga post ng netizens ay ikinukumpara nila ang Darna look ni Jane kay Gal Gadot bilang si Wonder Woman.","Hanggang kahapon ay nasa top ag trending pa rin ito, at ilan sa mga post ng netizens ay ikinukumpara nila ang area look ni vane kay Gal gamot bilang si Wonder Woman.","['10', 'Darna', 'Jane', 'Gadot']","{'10': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Darna': ['dara', 'derna', 'area', 'arena', 'aria'], 'Jane': ['june', 'lane', 'vane', 'aang', 'aani'], 'Gadot': ['gabot', 'galot', 'gamot', 'gayot', 'aabot']}",FP,FP
Huwebes ng gabi ng ideklara ng DOH na mayroon nang local transmission ng Delta variant sa bansa.,Huwebes ng gabi nang ideklara ng DOH na mayroon nang local transmission ng Delta variant sa bansa.,Huwebes ng gabi ng dineklara ng DOH na mayroon nang local transmission ng Delta variant sa bansa.,['ireklara'],"{'ireklara': ['ideklara', 'deklara', 'dineklara', 'ideklama', 'ireklamo']}",TP,FN
"Bagamat generally peaceful ang filing nang COCs at CONAs, nakahanda 24/7 ang PNP sa anumang hindi inaasahang insidente.","Bagamat generally peaceful ang filing ng COCs at CONAs, nakahanda 24/7 ang PNP sa anumang hindi inaasahang insidente.","Bagamat generally peaceful ang filing nang COCs at anas, nakahanda ag/d ang pdp sa anumang hindi inaasahang insidente.","['CONAs', '24', '7', 'PNP']","{'CONAs': ['cons', 'agnas', 'anas', 'banas', 'bona'], '24': ['ab', 'ad', 'ag', 'ah', 'ak'], '7': ['b', 'c', 'd', 'e', 'f'], 'PNP': ['lpnp', 'pap', 'pdp', 'pep', 'png']}",TP,FN
