Pattern_ID,RoughPOS_N-Gram,RPOSN_Freq,DetailedPOS_N-Gram,DPOSN_Freq,Comparison_Replacement_Matrix,POS_N-Gram
600001,DT.* NN.* CC.* NN.* CC.* JJ.*_CC.*,24.0,,,,DT.* NN.* CC.* NN.* CC.* JJ.*_CC.*
600002,NN.* CC.* NN.* CC.* JJ.*_CC.* FW,2.0,,,,NN.* CC.* NN.* CC.* JJ.*_CC.* FW
600003,CC.* NN.* CC.* JJ.*_CC.* FW CC.*,2.0,,,,CC.* NN.* CC.* JJ.*_CC.* FW CC.*
600004,NN.* DT.* DT.* NN.* CC.* FW,2.0,,,,NN.* DT.* DT.* NN.* CC.* FW
600005,RB.* CC.* PR.*_CC.* NN.* CC.* VB.*,5.0,,,,RB.* CC.* PR.*_CC.* NN.* CC.* VB.*
600006,CC.* PR.*_CC.* NN.* CC.* VB.* PR.*,5.0,,,,CC.* PR.*_CC.* NN.* CC.* VB.* PR.*
600007,PR.*_CC.* NN.* CC.* VB.* PR.* CC.*,3.0,,,,PR.*_CC.* NN.* CC.* VB.* PR.* CC.*
600008,CC.* VB.* PR.* CC.* NN.*_CC.* NN.*,2.0,,,,CC.* VB.* PR.* CC.* NN.*_CC.* NN.*
600009,VB.* PR.* CC.* NN.*_CC.* NN.* CC.*,3.0,,,,VB.* PR.* CC.* NN.*_CC.* NN.* CC.*
600010,NN.* CC.* CC.* DT.* NN.* LM,2.0,,,,NN.* CC.* CC.* DT.* NN.* LM
600011,CC.* CC.* DT.* NN.* LM JJ.*,2.0,,,,CC.* CC.* DT.* NN.* LM JJ.*
600012,CC.* DT.* NN.* LM JJ.* JJ.*,2.0,,,,CC.* DT.* NN.* LM JJ.* JJ.*
600013,DT.* NN.* LM JJ.* JJ.* CC.*,2.0,,,,DT.* NN.* LM JJ.* JJ.* CC.*
600014,CC.* PR.* PM.* PR.* LM PR.*_CC.*,2.0,,,,CC.* PR.* PM.* PR.* LM PR.*_CC.*
600015,PM.* PR.* LM PR.*_CC.* JJ.* CC.*,3.0,,,,PM.* PR.* LM PR.*_CC.* JJ.* CC.*
600016,PR.* LM PR.*_CC.* JJ.* CC.* NN.*,2.0,,,,PR.* LM PR.*_CC.* JJ.* CC.* NN.*
600017,NN.* PM.* CC.* PM.* FW CC.*,2.0,,,,NN.* PM.* CC.* PM.* FW CC.*
600018,CC.* PM.* FW CC.* NN.* CC.*,2.0,,,,CC.* PM.* FW CC.* NN.* CC.*
600019,PR.*_CC.* VB.* CC.* NN.* CC.* CC.*,4.0,,,,PR.*_CC.* VB.* CC.* NN.* CC.* CC.*
600020,PR.*_CC.* VB.* CC.* NN.* RB.* CC.*,5.0,,,,PR.*_CC.* VB.* CC.* NN.* RB.* CC.*
600021,NN.* RB.* CC.* NN.* PM.* PR.*_CC.*,2.0,,,,NN.* RB.* CC.* NN.* PM.* PR.*_CC.*
600022,RB.* CC.* NN.* PM.* PR.*_CC.* NN.*,2.0,,,,RB.* CC.* NN.* PM.* PR.*_CC.* NN.*
600023,PR.*_CC.* NN.* RB.* CC.* VB.* CC.*,3.0,,,,PR.*_CC.* NN.* RB.* CC.* VB.* CC.*
600024,NN.* RB.* CC.* VB.* CC.* DT.*,2.0,,,,NN.* RB.* CC.* VB.* CC.* DT.*
600025,RB.* CC.* VB.* CC.* DT.* NN.*,10.0,,,,RB.* CC.* VB.* CC.* DT.* NN.*
600026,CC.* VB.* CC.* DT.* NN.* CC.*,46.0,,,,CC.* VB.* CC.* DT.* NN.* CC.*
600027,PR.* LM PR.*_CC.* NN.* CC.* NN.*,3.0,,,,PR.* LM PR.*_CC.* NN.* CC.* NN.*
600028,CC.* NN.* CC.* VB.* DT.* NN.*,22.0,,,,CC.* NN.* CC.* VB.* DT.* NN.*
600029,VB.* DT.* NN.*_CC.* NN.* PM.* RB.*,2.0,,,,VB.* DT.* NN.*_CC.* NN.* PM.* RB.*
600030,NN.* JJ.* CC.* PR.*_CC.* NN.* PM.*,2.0,,,,NN.* JJ.* CC.* PR.*_CC.* NN.* PM.*
600031,JJ.* CC.* PR.*_CC.* NN.* PM.* NN.*,2.0,,,,JJ.* CC.* PR.*_CC.* NN.* PM.* NN.*
600032,RB.* RB.*_CC.* VB.* CC.* NN.* CC.*,3.0,,,,RB.* RB.*_CC.* VB.* CC.* NN.* CC.*
600033,VB.* CC.* NN.* CC.* RB.*_CC.* NN.*,3.0,,,,VB.* CC.* NN.* CC.* RB.*_CC.* NN.*
600034,CC.* NN.* CC.* VB.* DT.* VB.*,2.0,,,,CC.* NN.* CC.* VB.* DT.* VB.*
600035,NN.* CC.* VB.* DT.* VB.* CC.*,4.0,,,,NN.* CC.* VB.* DT.* VB.* CC.*
600036,LM VB.* RB.* CC.* DT.* DT.*,2.0,,,,LM VB.* RB.* CC.* DT.* DT.*
600037,PM.* VB.*_CC.* VB.* CC.* VB.* CC.*,2.0,,,,PM.* VB.*_CC.* VB.* CC.* VB.* CC.*
600038,VB.* CC.* CC.* NN.* CC.* JJ.*_CC.*,3.0,,,,VB.* CC.* CC.* NN.* CC.* JJ.*_CC.*
600039,NN.* CC.* JJ.*_CC.* FW FW CC.*,2.0,,,,NN.* CC.* JJ.*_CC.* FW FW CC.*
600040,VB.* CC.* PR.*_CC.* NN.* CC.* CC.*,8.0,,,,VB.* CC.* PR.*_CC.* NN.* CC.* CC.*
600041,PM.* VB.* PR.* DT.* NN.* CC.*,10.0,,,,PM.* VB.* PR.* DT.* NN.* CC.*
600042,VB.* PR.* DT.* NN.* CC.* PR.*_CC.*,4.0,,,,VB.* PR.* DT.* NN.* CC.* PR.*_CC.*
600043,PR.* DT.* NN.* CC.* PR.*_CC.* NN.*,7.0,,,,PR.* DT.* NN.* CC.* PR.*_CC.* NN.*
600044,CC.* PR.*_CC.* NN.* DT.* NN.* PM.*,2.0,,,,CC.* PR.*_CC.* NN.* DT.* NN.* PM.*
600045,VB.* PR.* DT.* NN.* CC.* DT.*,6.0,,,,VB.* PR.* DT.* NN.* CC.* DT.*
600046,PR.* DT.* NN.* CC.* DT.* JJ.*_CC.*,2.0,,,,PR.* DT.* NN.* CC.* DT.* JJ.*_CC.*
600047,VB.* PR.* CC.* PR.*_CC.* NN.* CC.*,13.0,,,,VB.* PR.* CC.* PR.*_CC.* NN.* CC.*
600048,PR.* CC.* PR.*_CC.* NN.* CC.* DT.*,3.0,,,,PR.* CC.* PR.*_CC.* NN.* CC.* DT.*
600049,CC.* PR.*_CC.* NN.* CC.* DT.* NN.*,22.0,,,,CC.* PR.*_CC.* NN.* CC.* DT.* NN.*
600050,CC.* DT.* NN.* CC.* RB.* JJ.*_CC.*,3.0,,,,CC.* DT.* NN.* CC.* RB.* JJ.*_CC.*
600051,CC.* PR.*_CC.* NN.* CC.* VB.* DT.*,20.0,,,,CC.* PR.*_CC.* NN.* CC.* VB.* DT.*
600052,PR.*_CC.* NN.* CC.* VB.* DT.* NN.*,13.0,,,,PR.*_CC.* NN.* CC.* VB.* DT.* NN.*
600053,NN.* CC.* VB.* DT.* NN.* PM.*,5.0,,,,NN.* CC.* VB.* DT.* NN.* PM.*
600054,CD.* NN.* CC.* RB.*_CC.* VB.* DT.*,2.0,,,,CD.* NN.* CC.* RB.*_CC.* VB.* DT.*
600055,CC.* NN.* PM.* VB.* CC.* CC.*,2.0,,,,CC.* NN.* PM.* VB.* CC.* CC.*
600056,PM.* VB.* CC.* CC.* CC.* NN.*,2.0,,,,PM.* VB.* CC.* CC.* CC.* NN.*
600057,VB.* CC.* CC.* CC.* NN.* CC.*,3.0,,,,VB.* CC.* CC.* CC.* NN.* CC.*
600058,DT.* NN.* LM VB.* CC.* NN.*_CC.*,9.0,,,,DT.* NN.* LM VB.* CC.* NN.*_CC.*
600059,NN.* LM VB.* CC.* NN.*_CC.* FW,2.0,,,,NN.* LM VB.* CC.* NN.*_CC.* FW
600060,DT.* DT.* PR.* CC.* NN.* CC.*,2.0,,,,DT.* DT.* PR.* CC.* NN.* CC.*
