Pattern_ID,RoughPOS_N-Gram,RPOSN_Freq,DetailedPOS_N-Gram,DPOSN_Freq,Comparison_Replacement_Matrix,POS_N-Gram
200001,CC.* DT.*,4659.0,,,,CC.* DT.*
200002,DT.* NN.*,8757.0,,,,DT.* NN.*
200003,NN.* CC.*,17851.0,,,,NN.* CC.*
200004,CC.* NN.*,14783.0,,,,CC.* NN.*
200005,CC.* JJ.*_CC.*,1249.0,,,,CC.* JJ.*_CC.*
200006,JJ.*_CC.* FW,68.0,,,,JJ.*_CC.* FW
200007,FW CC.*,747.0,,,,FW CC.*
200008,NN.* DT.*,1623.0,,,,NN.* DT.*
200009,DT.* DT.*,1276.0,,,,DT.* DT.*
200010,CC.* FW,616.0,,,,CC.* FW
200011,NN.* FW,411.0,,,,NN.* FW
200012,FW NN.*,318.0,,,,FW NN.*
200013,RB.* CC.*,1815.0,,,,RB.* CC.*
200014,CC.* VB.*,4614.0,,,,CC.* VB.*
200015,VB.* CC.*,6937.0,,,,VB.* CC.*
200016,DT.* FW,300.0,,,,DT.* FW
200017,CC.* RB.*,1148.0,,,,CC.* RB.*
200018,CC.* PR.*_CC.*,1614.0,,,,CC.* PR.*_CC.*
200019,PR.*_CC.* NN.*,1699.0,,,,PR.*_CC.* NN.*
200020,VB.* PR.*,888.0,,,,VB.* PR.*
200021,PR.* CC.*,1303.0,,,,PR.* CC.*
200022,CC.* NN.*_CC.*,805.0,,,,CC.* NN.*_CC.*
200023,NN.*_CC.* NN.*,901.0,,,,NN.*_CC.* NN.*
200024,CC.* CC.*,1080.0,,,,CC.* CC.*
200025,NN.* LM,3109.0,,,,NN.* LM
200026,LM JJ.*,217.0,,,,LM JJ.*
200027,JJ.* JJ.*,131.0,,,,JJ.* JJ.*
200028,JJ.* CC.*,2505.0,,,,JJ.* CC.*
200029,CC.* PR.*,1051.0,,,,CC.* PR.*
200030,PR.* PM.*,413.0,,,,PR.* PM.*
200031,PM.* PR.*,336.0,,,,PM.* PR.*
200032,PR.* LM,886.0,,,,PR.* LM
200033,LM PR.*_CC.*,90.0,,,,LM PR.*_CC.*
200034,PR.*_CC.* JJ.*,149.0,,,,PR.*_CC.* JJ.*
200035,NN.* PM.*,5429.0,,,,NN.* PM.*
200036,PM.* NN.*,1926.0,,,,PM.* NN.*
