Pattern_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,Frequency,ID_Array
Pattern_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,Frequency,ID_Array
700001,DT.* NN.* CC.* VB.* CC.* NN.* PM.*,,2,"['047474', '009756']"
700002,CC.* VB.* RB.* PR.* DT.* NN.* CC.*,,2,"['000674', '007192']"
700003,VB.* RB.* PR.* DT.* NN.* CC.* DT.*,,2,"['000675', '007193']"
700004,CC.* PR.*_CC.* NN.* CC.* VB.* DT.* NN.*,,2,"['018676', '000425']"
700005,JJ.* CC.* VB.* DT.* DT.* NN.* CC.*,,2,"['008641', '013446']"
700006,PM.* FW CC.* PR.* CC.* DT.* NN.*,,2,"['035642', '023332']"
700007,NN.* PM.* RB.* RB.* VB.* PM.* NN.*,,2,"['022894', '044534']"
700008,CC.* VB.* DT.* DT.* VB.* PM.* VB.*,,2,"['018777', '016389']"
700009,VB.* PM.* FW CC.* NN.* PM.* CC.*,,2,"['047613', '016724']"
700010,PM.* FW CC.* NN.* PM.* CC.* DT.*,,2,"['047614', '016725']"
700011,NN.* CC.* VB.* CC.* NN.* CC.* FW,,2,"['012122', '045781']"
700012,PM.* VB.* PR.* CC.* NN.*_CC.* NN.* CC.*,,2,"['018310', '004454']"
700013,CC.* PR.* PM.* VB.* RB.* DT.* NN.*,,2,"['012453', '010029']"
700014,PR.* PM.* VB.* RB.* DT.* NN.* CC.*,,2,"['012454', '010030']"
700015,NN.* PM.* PR.* PM.* FW VB.* CC.*,,2,"['046467', '037662']"
700016,CC.* NN.*_CC.* JJ.* CC.* NN.* PM.* JJ.*,,2,"['034677', '001616']"
700017,VB.* DT.* NN.* CC.* NN.* CC.* JJ.*_CC.*,,2,"['034058', '004901']"
700018,CC.* VB.* CC.* DT.* NN.* PM.* FW,,2,"['021985', '025811']"
700019,RB.* CC.* VB.* CC.* DT.* NN.* CC.*,,2,"['007002', '033499']"
700020,CC.* NN.* CC.* VB.* DT.* VB.* CC.*,,2,"['006419', '001379']"
700021,NN.* CC.* VB.* DT.* NN.* CC.* NN.*,,2,"['029488', '017068']"
700022,CC.* VB.* CC.* DT.* NN.* CC.* VB.*,,2,"['033500', '044240']"
700023,VB.*_VB.*_CC.* NN.* DT.* NN.* CC.* FW FW,,2,"['017093', '038391']"
700024,FW CC.* VB.* CC.* NN.* DT.* NN.*,,2,"['021110', '041778']"
700025,DT.* NN.* CC.* VB.* DT.* NN.* CC.*,,2,"['017067', '013506']"
700026,NN.* CC.* PR.*_CC.* NN.* CC.* RB.* RB.*,,2,"['005826', '037626']"
700027,PM.* CC.* VB.* CC.* DT.* NN.* CC.*,,2,"['028563', '044239']"
700028,DT.* NN.* PR.*_CC.* VB.* PM.* FW CC.*,,2,"['017011', '028677']"
700029,CC.* PR.*_CC.* NN.* PM.* VB.* PR.* CC.*,,2,"['028684', '002556']"
700030,CC.* NN.* CC.* NN.* PM.* DT.* JJ.*_CC.*,,2,"['042385', '019878']"
700031,PR.* PM.* VB.* PM.* FW CC.* NN.*,,2,"['016723', '040884']"
700032,NN.* PR.* CC.* DT.* NN.* PM.* CC.*,,2,"['020433', '038380']"
700033,RB.* PM.* RB.* VB.* DT.* NN.* CC.*,,2,"['042200', '031558']"
700034,CC.* FW PM.* NN.* CC.* VB.* DT.*,,2,"['032331', '036262']"
700035,CC.* NN.* CC.* VB.* CC.* VB.* DT.*,,2,"['015958', '001548']"
700036,RB.* PM.* VB.*_CC.* VB.* DT.* DT.* NN.*,,2,"['027415', '038626']"
700037,PM.* VB.*_CC.* VB.* DT.* DT.* NN.* CC.*,,2,"['027416', '038627']"
700038,FW PM.* VB.* PR.* CC.* NN.* CC.*,,2,"['041254', '026100']"
700039,FW PM.* PM.* VB.* RB.* DT.* NN.*,,2,"['009767', '027026']"
700040,DT.* NN.* CC.* DT.* PR.*_CC.* FW FW,,2,"['041084', '024973']"
700041,CC.* NN.* CC.* VB.* RB.* DT.* DT.*,,2,"['009823', '001048']"
700042,NN.* CC.* DT.* JJ.* PM.* NN.* CC.*,,2,"['041105', '038794']"
700043,PR.* CC.* DT.* JJ.*_CC.* NN.* CC.* FW,,2,"['019169', '019040']"
700044,RB.*_CC.* VB.* DT.* NN.* CC.* NN.* CC.*,,2,"['040861', '001761']"
700045,PM.* CC.* VB.* CC.* NN.* DT.* NN.*,,2,"['037438', '023779']"
700046,,PMS FW CCT PRSP CCP DTP NNP,2,"['035642', '023332']"
700047,,CCA VBW DTC DTCP VBAF PMC VBTS,2,"['018777', '016389']"
700048,,CCT NNC_CCP JJD CCB NNP PMC JJCC,2,"['034677', '001616']"
700049,,DTP NNP CCA DTC PRSP_CCP FW FW,2,"['041084', '024973']"
700050,,PRP CCB DTCP JJD_CCP NNC CCT FW,2,"['019169', '019040']"
