Pattern_ID,Hybrid_N-Gram,Frequency,POS_Type
200003,NN.* PR.*_PM.*,474,Mixed POS
200004,PR.* NN.*_PM.*,934,Mixed POS
200005,JJ.* NN.*_PM.*,1216,Mixed POS
200006,RB.* VB.*_PM.*_PM.*,667,Mixed POS
200007,RB.* NN.*_PM.*,667,Mixed POS
200008,PR.* VB.*_PM.*,934,Mixed POS
200010,NN.* NN.*_PM.*,474,Mixed POS
200011,NN.* VB.*_PM.*,474,Mixed POS
200014,VB.* NN.*_PM.*,443,Mixed POS
200016,CD.* NN.*_PM.*_PM.*,7,Mixed POS
200017,RB.* CD.*_PM.*,667,Mixed POS
200018,NN.* PR.*_PM.*_PM.*,474,Mixed POS
200019,JJ.* NN.*_PM.*_PM.*,1216,Mixed POS
200020,CC.* NN.*_PM.*_PM.*,491,Mixed POS
200022,VB.* VB.*_PM.*,443,Mixed POS
200023,DT.* NN.*_NN.*_PM.*,240,Mixed POS
200024,CC.* VB.*_PM.*_PM.*,491,Mixed POS
200026,PR.*_PM.* JJ.*,502,Mixed POS
200027,LM VB.*_PM.*,57,Mixed POS
200028,JJ.* PR.*_PM.*,1216,Mixed POS
200029,JJ.* VB.*_PM.*,1216,Mixed POS
200030,DT.* NN.*_PM.*_PM.*,240,Mixed POS
200031,PR.* JJ.*_PM.*,934,Mixed POS
200032,VB.* RB.*_PM.*,443,Mixed POS
200033,NN.*_PM.* RB.*,97,Mixed POS
200034,CC.* PR.*_PM.*,491,Mixed POS
200037,DT.* NN.*_PM.*,240,Mixed POS
200039,NN.* JJ.*_PM.*,474,Mixed POS
200040,CC.* VB.*_PM.*,491,Mixed POS
200041,PM.*_ NN.*,2729,Mixed POS
200042,NN.* FW_PM.*_PM.*,474,Mixed POS
200043,LM VB.*_PM.*_PM.*,57,Mixed POS
200044,LM PR.*_PM.*,57,Mixed POS
200045,PR.*_PM.* FW,84,Mixed POS
200047,VB.*_PM.* JJ.*,502,Mixed POS
200048,CC.* NN.*_NN.*_PM.*,491,Mixed POS
200049,VB.*_PM.* PR.*,278,Mixed POS
200050,NN.* RB.*_PM.*_PM.*,474,Mixed POS
200053,CC.* NN.*_PM.*,491,Mixed POS
200054,NN.* CD.*_PM.*,474,Mixed POS
200059,CC.*_PM.* VB.*,640,Mixed POS
200060,RB.* VB.*_PM.*,667,Mixed POS
200061,CC.* JJ.*_PM.*_PM.*,491,Mixed POS
200062,VB.* JJ.*_PM.*,443,Mixed POS
200063,PR.*_PM.* NN.*,2729,Mixed POS
200064,NN.* NN.*_PM.*_PM.*,474,Mixed POS
200066,DT.* VB.*_PM.*,240,Mixed POS
200067,PR.* FW_PM.*,934,Mixed POS
200068,VB.*_PM.* NN.*,2729,Mixed POS
200069,DT.*_PM.* JJ.*,502,Mixed POS
200070,JJ.*_PM.* NN.*,2729,Mixed POS
200071,CC.* JJ.*_PM.*,491,Mixed POS
200072,NN.* JJ.*_PM.*_PM.*,474,Mixed POS
200073,DT.* JJ.*_PM.*,240,Mixed POS
200075,JJ.* RB.*_PM.*,1216,Mixed POS
200076,VB.*_PM.* VB.*,640,Mixed POS
200077,RB.* RB.*_PM.*,667,Mixed POS
200078,RB.* FW_PM.*,667,Mixed POS
200079,DT.*_PM.* NN.*,2729,Mixed POS
200080,JJ.* JJ.*_PM.*,1216,Mixed POS
200081,CC.* NN.*_FW_PM.*,491,Mixed POS
200082,VB.* PR.*_PM.*,443,Mixed POS
200084,CC.* PR.*_PM.*_PM.*,491,Mixed POS
200085,JJ.* FW_PM.*,1216,Mixed POS
200086,LM_PM.* VB.*,640,Mixed POS
200087,NN.*_PM.* VB.*,640,Mixed POS
200088,PR.* VB.*_PM.*_PM.*,934,Mixed POS
200090,NN.*_PM.* NN.*,2729,Mixed POS
200091,VB.* PR.*_PM.*_PM.*,443,Mixed POS
200092,CC.*_PM.* JJ.*,502,Mixed POS
200093,RB.* JJ.*_PM.*_PM.*,667,Mixed POS
200095,RB.* PR.*_PM.*_PM.*,667,Mixed POS
200096,PR.* NN.*_PM.*_PM.*,934,Mixed POS
200097,DT.* PR.*_PM.*,240,Mixed POS
200098,VB.* NN.*_PM.*_PM.*,443,Mixed POS
200099,VB.*_PM.* DT.*,22,Mixed POS
200102,CC.*_PM.* PR.*,278,Mixed POS
200104,VB.* FW_PM.*,443,Mixed POS
200106,DT.* VB.*_PM.*_PM.*,240,Mixed POS
200108,PM.*_ PR.*,278,Mixed POS
200109,RB.* NN.*_PM.*_PM.*,667,Mixed POS
200110,JJ.* JJ.*_PM.*_PM.*,1216,Mixed POS
200111,CC.* FW_PM.*_PM.*,491,Mixed POS
200112,NN.* CC.*_NN.*_PM.*,474,Mixed POS
200113,PM.*_ VB.*,640,Mixed POS
200114,LM JJ.*_PM.*_PM.*,57,Mixed POS
200115,CC.*_PM.* NN.*,2729,Mixed POS
200116,JJ.* VB.*_PM.*_PM.*,1216,Mixed POS
200117,RB.* RB.*_PM.*_PM.*,667,Mixed POS
200118,FW NN.*_PM.*_PM.*,5,Mixed POS
200119,VB.* VB.*_PM.*_PM.*,443,Mixed POS
200120,LM RB.*_PM.*,57,Mixed POS
200121,RB.*_PM.* VB.*,640,Mixed POS
200122,RB.* JJ.*_PM.*,667,Mixed POS
200123,LM_PM.* PR.*,278,Mixed POS
200124,LM_PM.* JJ.*,502,Mixed POS
200125,PR.* PR.*_PM.*_PM.*,934,Mixed POS
200126,VB.*_PM.* CC.*,19,Mixed POS
200127,PR.* CD.*_PM.*,934,Mixed POS
200128,NN.* RB.*_PM.*,474,Mixed POS
200129,CC.*_PM.* RB.*,97,Mixed POS
200131,VB.* CC.*_PM.*,443,Mixed POS
200132,VB.* RB.*_PM.*_PM.*,443,Mixed POS
200133,DT.*_PM.* RB.*,97,Mixed POS
200134,JJ.* RB.*_PM.*_PM.*,1216,Mixed POS
200136,VB.*_PM.* RB.*,97,Mixed POS
200138,CC.* RB.*_PM.*_PM.*,491,Mixed POS
200139,NN.* FW_PM.*,474,Mixed POS
200140,JJ.*_PM.* CC.*,19,Mixed POS
200141,PR.* RB.*_PM.*_PM.*,934,Mixed POS
200142,PR.*_PM.* VB.*,640,Mixed POS
200143,PR.*_PM.* PR.*,278,Mixed POS
200145,PR.* RB.*_PM.*,934,Mixed POS
200146,PM.*_ RB.*,97,Mixed POS
200147,VB.* DT.*_NN.*_PM.*,443,Mixed POS
200148,PR.* DT.*_NN.*_PM.*,934,Mixed POS
200149,RB.* PR.*_PM.*,667,Mixed POS
200150,LM JJ.*_PM.*,57,Mixed POS
200151,PR.*_PM.* DT.*,22,Mixed POS
200152,RB.*_PM.* NN.*,2729,Mixed POS
200153,RB.*_PM.* JJ.*,502,Mixed POS
200154,PM.*_ JJ.*,502,Mixed POS
200155,NN.*_PM.* PR.*,278,Mixed POS
200156,NN.*_PM.* CC.*,19,Mixed POS
200157,JJ.* PR.*_PM.*_PM.*,1216,Mixed POS
200158,PR.*_PM.* RB.*,97,Mixed POS
200546,JJN_CCP JJ.*,17,Mixed POS
200160,JJCS_JJD_CCP FW,5,Mixed POS
200551,JJCS_JJD_CCP VB.*,15,Mixed POS
200556,CCB JJ.*,27,Mixed POS
200557,JJCS_JJD_CCP NN.*,189,Mixed POS
200564,NNC_CCP VB.*,67,Mixed POS
200576,CCB VB.*,14,Mixed POS
200578,PRI_CCP_PMS JJ.*,16,Mixed POS
200581,CCT JJ.*,47,Mixed POS
200595,PMS_ NN.*,2729,Mixed POS
200218,LM VBTR_PMP_PMS,3,Mixed POS
200221,LM PRI_CCP_PMS,8,Mixed POS
200222,PRI_CCP_PMS FW,1,Mixed POS
200598,JJCS_JJD PR.*,4,Mixed POS
200227,LM VBTR_CCP_PMS,4,Mixed POS
200601,JJCS_JJD_CCP NN.*,189,Mixed POS
200607,VBTR_VBAF_CCP NN.*,22,Mixed POS
200609,DTCP JJ.*,17,Mixed POS
200611,JJD_CCP VB.*,47,Mixed POS
200617,VBTS_CCP_PMS NN.*,4,Mixed POS
200618,DTC_PMS JJ.*,6,Mixed POS
200619,JJD_CCP_PMS NN.*,6,Mixed POS
200622,PRI_CCP VB.*,29,Mixed POS
200625,RBW JJ.*,2,Mixed POS
200629,PRS_CCP VB.*,22,Mixed POS
200635,PRQ_CCP JJ.*,3,Mixed POS
200639,LM_PMS VB.*,640,Mixed POS
200643,DTCP VB.*,22,Mixed POS
200645,JJCS_JJD_CCP NN.*,189,Mixed POS
200646,VBTS_CCP VB.*,9,Mixed POS
200303,LM VBTR_VBAF_CCP,4,Mixed POS
200651,VBTR_VBAF_CCP VB.*,9,Mixed POS
200657,PRSP_CCP_PMS NN.*,6,Mixed POS
