Pattern_ID,RoughPOS_N-Gram,RPOSN_Freq,DetailedPOS_N-Gram,DPOSN_Freq,Comparison_Replacement_Matrix,POS_N-Gram,Effective_Freq
600001,DT.* NN.* CC.* NN.* CC.* JJ.*_CC.*,24.0,,,,DT.* NN.* CC.* NN.* CC.* JJ.*_CC.*,24.0
600002,NN.* CC.* NN.* CC.* JJ.*_CC.* FW,2.0,,,,NN.* CC.* NN.* CC.* JJ.*_CC.* FW,2.0
600003,CC.* NN.* CC.* JJ.*_CC.* FW CC.*,2.0,,,,CC.* NN.* CC.* JJ.*_CC.* FW CC.*,2.0
600004,NN.* DT.* DT.* NN.* CC.* FW,2.0,,,,NN.* DT.* DT.* NN.* CC.* FW,2.0
600005,RB.* CC.* PR.*_CC.* NN.* CC.* VB.*,5.0,,,,RB.* CC.* PR.*_CC.* NN.* CC.* VB.*,5.0
600006,CC.* PR.*_CC.* NN.* CC.* VB.* PR.*,5.0,,,,CC.* PR.*_CC.* NN.* CC.* VB.* PR.*,5.0
600007,PR.*_CC.* NN.* CC.* VB.* PR.* CC.*,3.0,,,,PR.*_CC.* NN.* CC.* VB.* PR.* CC.*,3.0
600008,CC.* VB.* PR.* CC.* NN.*_CC.* NN.*,2.0,,,,CC.* VB.* PR.* CC.* NN.*_CC.* NN.*,2.0
600009,VB.* PR.* CC.* NN.*_CC.* NN.* CC.*,3.0,,,,VB.* PR.* CC.* NN.*_CC.* NN.* CC.*,3.0
600010,NN.* CC.* CC.* DT.* NN.* LM,2.0,,,,NN.* CC.* CC.* DT.* NN.* LM,2.0
600011,CC.* CC.* DT.* NN.* LM JJ.*,2.0,,,,CC.* CC.* DT.* NN.* LM JJ.*,2.0
600012,CC.* DT.* NN.* LM JJ.* JJ.*,2.0,,,,CC.* DT.* NN.* LM JJ.* JJ.*,2.0
600013,DT.* NN.* LM JJ.* JJ.* CC.*,2.0,,,,DT.* NN.* LM JJ.* JJ.* CC.*,2.0
600014,CC.* PR.* PM.* PR.* LM PR.*_CC.*,2.0,,,,CC.* PR.* PM.* PR.* LM PR.*_CC.*,2.0
600015,PM.* PR.* LM PR.*_CC.* JJ.* CC.*,3.0,,,,PM.* PR.* LM PR.*_CC.* JJ.* CC.*,3.0
600016,PR.* LM PR.*_CC.* JJ.* CC.* NN.*,2.0,,,,PR.* LM PR.*_CC.* JJ.* CC.* NN.*,2.0
600017,NN.* PM.* CC.* PM.* FW CC.*,2.0,,,,NN.* PM.* CC.* PM.* FW CC.*,2.0
600018,CC.* PM.* FW CC.* NN.* CC.*,2.0,,,,CC.* PM.* FW CC.* NN.* CC.*,2.0
600019,PR.*_CC.* VB.* CC.* NN.* CC.* CC.*,4.0,,,,PR.*_CC.* VB.* CC.* NN.* CC.* CC.*,4.0
600020,PR.*_CC.* VB.* CC.* NN.* RB.* CC.*,5.0,,,,PR.*_CC.* VB.* CC.* NN.* RB.* CC.*,5.0
600021,NN.* RB.* CC.* NN.* PM.* PR.*_CC.*,2.0,,,,NN.* RB.* CC.* NN.* PM.* PR.*_CC.*,2.0
600022,RB.* CC.* NN.* PM.* PR.*_CC.* NN.*,2.0,,,,RB.* CC.* NN.* PM.* PR.*_CC.* NN.*,2.0
600023,PR.*_CC.* NN.* RB.* CC.* VB.* CC.*,3.0,,,,PR.*_CC.* NN.* RB.* CC.* VB.* CC.*,3.0
600024,NN.* RB.* CC.* VB.* CC.* DT.*,2.0,,,,NN.* RB.* CC.* VB.* CC.* DT.*,2.0
600025,RB.* CC.* VB.* CC.* DT.* NN.*,10.0,,,,RB.* CC.* VB.* CC.* DT.* NN.*,10.0
600026,CC.* VB.* CC.* DT.* NN.* CC.*,46.0,,,,CC.* VB.* CC.* DT.* NN.* CC.*,46.0
600027,PR.* LM PR.*_CC.* NN.* CC.* NN.*,3.0,,,,PR.* LM PR.*_CC.* NN.* CC.* NN.*,3.0
600028,CC.* NN.* CC.* VB.* DT.* NN.*,22.0,,,,CC.* NN.* CC.* VB.* DT.* NN.*,22.0
600029,VB.* DT.* NN.*_CC.* NN.* PM.* RB.*,2.0,,,,VB.* DT.* NN.*_CC.* NN.* PM.* RB.*,2.0
600030,NN.* JJ.* CC.* PR.*_CC.* NN.* PM.*,2.0,,,,NN.* JJ.* CC.* PR.*_CC.* NN.* PM.*,2.0
600031,JJ.* CC.* PR.*_CC.* NN.* PM.* NN.*,2.0,,,,JJ.* CC.* PR.*_CC.* NN.* PM.* NN.*,2.0
